geo,sex,vintage,start_year,end_year,age_at_start,age_at_end,start_pop,end_pop,net_migration,net_pct_of_start
Queens,female,v2025,2020,2025,20-24,25-29,75826,95164,19338,25.5
Queens,female,v2020,2010,2015,25-29,30-34,93119,91968,-1151,-1.2
Queens,female,v2020,2011,2016,25-29,30-34,92983,91260,-1723,-1.9
Queens,female,v2020,2012,2017,25-29,30-34,93263,90962,-2301,-2.5
Queens,female,v2020,2013,2018,25-29,30-34,93438,89904,-3534,-3.8
Queens,female,v2020,2014,2019,25-29,30-34,93742,88942,-4800,-5.1
Queens,female,v2020,2015,2020,25-29,30-34,95449,88654,-6795,-7.1
Queens,female,v2025,2020,2025,25-29,30-34,94544,94568,24,0.0
Queens,male,v2020,2010,2015,15-19,20-24,71832,77194,5362,7.5
Queens,male,v2020,2011,2016,15-19,20-24,70947,73309,2362,3.3
Queens,male,v2020,2012,2017,15-19,20-24,67773,69543,1770,2.6
Queens,male,v2020,2013,2018,15-19,20-24,65258,66403,1145,1.8
Queens,male,v2020,2014,2019,15-19,20-24,63425,63896,471,0.7
Queens,male,v2020,2015,2020,15-19,20-24,61798,61695,-103,-0.2
Queens,male,v2025,2020,2025,15-19,20-24,68017,70582,2565,3.8
Queens,male,v2020,2010,2015,20-24,25-29,81868,95066,13198,16.1
Queens,male,v2020,2011,2016,20-24,25-29,81871,96103,14232,17.4
Queens,male,v2020,2012,2017,20-24,25-29,82304,96552,14248,17.3
Queens,male,v2020,2013,2018,20-24,25-29,81852,95327,13475,16.5
Queens,male,v2020,2014,2019,20-24,25-29,79801,92688,12887,16.1
Queens,male,v2020,2015,2020,20-24,25-29,77194,89461,12267,15.9
Queens,male,v2025,2020,2025,20-24,25-29,77204,92744,15540,20.1
Queens,male,v2020,2010,2015,25-29,30-34,91787,91610,-177,-0.2
Queens,male,v2020,2011,2016,25-29,30-34,91710,91469,-241,-0.3
Queens,male,v2020,2012,2017,25-29,30-34,92382,91661,-721,-0.8
Queens,male,v2020,2013,2018,25-29,30-34,92438,91197,-1241,-1.3
Queens,male,v2020,2014,2019,25-29,30-34,93388,90649,-2739,-2.9
Queens,male,v2020,2015,2020,25-29,30-34,95066,91319,-3747,-3.9
Queens,male,v2025,2020,2025,25-29,30-34,94136,95471,1335,1.4
Staten Island,all,v2020,2010,2015,15-19,20-24,32929,31923,-1006,-3.1
Staten Island,all,v2020,2011,2016,15-19,20-24,32649,30714,-1935,-5.9
Staten Island,all,v2020,2012,2017,15-19,20-24,31483,29711,-1772,-5.6
Staten Island,all,v2020,2013,2018,15-19,20-24,30763,29272,-1491,-4.8
Staten Island,all,v2020,2014,2019,15-19,20-24,30157,28667,-1490,-4.9
